doi,battery_chemistry_cathode,manufacturer,form_factor,ambient_temperature_experiments,state_of_charge_mentioned,record_id,paper_title,paper_type,review_notes
10.1016/S0378-7753(03)00027-2,LCO/graphite,Sony,US18650 cylindrical 18650,room temperature (exact value n/s),approximately 0-100%,10.1016/S0378-7753(03)00027-2,Comparison of the capacity fade of Sony US 18650 cells charged with different protocols,Experimental,Cathode inferred from paper's stated LiCoO2/carbon active materials; verify model suffix.
10.1149/1945-7111/abb70d,NMC/graphite,Argonne National Laboratory CAMP Facility,single-layer pouch / three-electrode laboratory cell,multiple temperatures,various; safe-line analysis across SOC,10.1149/1945-7111/abb70d,Fast Charging of Li-Ion Cells: Part IV. Temperature Effects and 'Safe Lines' to Avoid Lithium Plating,"Experimental, Computational",Source PDF: Rodrigues et al. 2020 experimental ref electrode computational Experimental temperature/SOC map rather than a single condition.
10.1016/j.jpowsour.2018.04.095,NMC/graphite,Kokam,pouch cell,25 C,n/s,10.1016/j.jpowsour.2018.04.095,Optimum fast charging of lithium-ion pouch cells based on local volume expansion criteria,Experimental,Manufacturer identification should be checked against the cell-specification table.
10.1149/2.0731910jes,NMC/graphite,Argonne National Laboratory CAMP Facility,single-layer pouch cells,30 C,0-80% for XFC protocols,10.1149/2.0731910jes,Extreme Fast Charge Challenges for Lithium-ion Battery: Variability and Positive Electrode Issues,Experimental,Collection appears to combine/append related material; review carefully.
10.1149/1945-7111/abb564,multiple automotive Li-ion chemistries,multiple / anonymized,commercial automotive pouch and prismatic cells,multiple; including low-temperature tests,various,10.1149/1945-7111/abb564,Fast-Charging of Automotive Lithium-Ion Cells: In Situ Lithium-Plating Detection and Comparison of Different Cell Designs,Model,Source PDF: Adam et al. 2020 Full DOI should be verified; parsed front matter contained only the journal prefix.
10.1016/j.jpowsour.2021.230416,"multiple: NMC, LCO and next-generation chemistries",EC Power / laboratory-fabricated cells,pouch cells and laboratory cells,multiple; self-heating to elevated temperature,various,10.1016/j.jpowsour.2021.230416,Transforming rate capability through self-heating of energy-dense and next-generation batteries,Thermal,Paper covers several cell chemistries and formats.
10.1016/S0378-7753(01)00820-5,LCO/graphite,Sony,commercial Li-ion cell; form factor n/s,room temperature (exact value n/s),approximately 0-100%,10.1016/S0378-7753(01)00820-5,The effects of pulse charging on cycling characteristics of commercial lithium-ion batteries,Experimental,LiCoO2 is explicitly identified during post-test electrode analysis.
10.1016/j.jpowsour.2018.08.030,LFP/graphite,A123 Systems,26650 cylindrical cell,25 C,n/s,10.1016/j.jpowsour.2018.08.030,Health conscious fast charging of Li-ion batteries via a single particle model with aging mechanisms,Model,Primarily a model-based study.
10.1016/j.jpowsour.2019.227015,LFP/graphite,A123 Systems,26650 cylindrical cell,25 and 45 C,20-80%,10.1016/j.jpowsour.2019.227015,Fast charging optimization for lithium-ion batteries based on dynamic programming algorithm and electrochemical-thermal-capacity fade coupled model,Computational,Primarily simulation; model validated against experimental/literature data.
10.1109/ACCESS.2018.2876359,NMC/graphite,Lishen,n/s,"20, 10, 25 and 40 C",target SOC 90%,10.1109/ACCESS.2018.2876359,Research on the Battery Charging Strategy With Charging and Temperature Rising Control Awareness,Experimental,DOI recovered from article text; cell chemistry/model not clearly specified.
10.3390/en9030209,NCA,Samsung,INR18650-25R cylindrical 18650,20 C,0-80%,10.3390/en9030209,Pulse-Based Fast Battery IoT Charger Using Dynamic Frequency and Duty Control Techniques Based on Multi-Sensing of Polarization Curve,Experimental,Front-matter DOI appears inconsistent with the paper year/title; verify before ingestion.
10.1016/j.jpowsour.2006.02.087,LCO/MCMB graphite,n/s,custom three-electrode laboratory cell,"20, 10, 0, -10 and -20 C",approximately 0-100%,10.1016/j.jpowsour.2006.02.087,Study of the charging process of a LiCoO2-based Li-ion battery,Experimental,Electrode sheets supplied by an unnamed battery company.
10.1016/j.jpowsour.2020.229085,NMC/graphite,LG,commercial cylindrical 18650 cell,23 C,approximately 0-100%; EIS at 100% SOC,10.1016/j.jpowsour.2020.229085,The effect of pulse charging on commercial lithium nickel cobalt oxide (NMC) cathode lithium-ion batteries,Experimental,Source: Knowledge DB 3 Markdown. Four commercial cells cycled with CC-CV and pulse-CV protocols.
10.1016/j.jpowsour.2006.06.040,LCO/graphite,n/s,commercial cell; form factor n/s,room temperature (exact value n/s),n/s,10.1016/j.jpowsour.2006.06.040,The effect of the charging protocol on the cycle life of a Li-ion battery,Experimental,Metadata is sparse; chemistry/form factor should be checked in the experimental section.
10.1149/1945-7111/ab8c84,NMC532/graphite,Argonne National Laboratory CAMP Facility,single-layer pouch cell (modeled),30 C nominal; validation spans 20-50 C,up to about 66-67% in 10-min comparisons,10.1149/1945-7111/ab8c84,Model-Instructed Design of Novel Charging Protocols for the Extreme Fast Charging of Lithium-Ion Batteries Without Lithium Plating,Computational,Source PDF: Mai et al. 2020 computational 23 Full DOI recovered from article text; modeled CAMP Round2 cell.
10.3390/en11081937,multiple / vehicle-dependent,multiple vehicle manufacturers,EV battery packs,"-25, -15 and 25 C",vehicle-dependent; fast-charge sessions,10.3390/en11081937,Evaluation of Fast Charging Efficiency under Extreme Temperatures,Experimental,"Study reports charger/vehicle-level tests, not a disclosed cell chemistry."
10.1016/j.etran.2019.100011,multiple chemistries (review),multiple,multiple (review),multiple (review),multiple (review),10.1016/j.etran.2019.100011,Lithium-ion battery fast charging: A review,Review,Review article; should not be used as a single experimental-cell metadata filter.
10.1002/ente.202000457,NMC622/graphite,Volkswagen-Varta Microbattery joint venture (electrodes),28 mAh single-layer three-electrode lab pouch cell,23 C,0-80% fast-charge window; characterization across 5-95%,10.1002/ente.202000457,Aging-Optimized Fast Charging of Lithium Ion Cells Based on Three-Electrode Cell Measurements,Model,Source PDF: Epding et al. 2020 109.pdf. Metadata extracted from Markdown body; verify entries marked n/s or model-based.
10.1002/er.6375,NCM811/graphite,n/s,120 Ah large-format commercial Li-ion cell with implanted reference electrode,ambient/room temperature (exact value n/s),0-80% and 0-95%,10.1002/er.6375,Lithium-plating-free fast charging of large-format lithium-ion batteries with reference electrodes,Model,"Source PDF: Liu, Chu et al 2020 115.pdf. Metadata extracted from Markdown body; verify entries marked n/s or model-based."
10.1002/est2.141,NCA/graphite,Panasonic,"NCR18650B cylindrical 18650, 3.2 Ah",room temperature (exact value n/s),approximately 0-100%; cells prepared at 0% for postmortem analysis,10.1002/est2.141,Adaptive fast charging methodology for commercial Li-ion batteries based on the internal resistance spectrum,Heuristic Study,Source PDF: Sebastian et al. 2020.pdf. Metadata extracted from Markdown body; verify entries marked n/s or model-based.
10.1007/s10800-019-01322-1,LFP/graphite,A123 Systems,"ANR26650 cylindrical 26650, 2.5 Ah",ambient measured; exact test value n/s,empty-to-full (approximately 0-100%),10.1007/s10800-019-01322-1,A framework for charging strategy optimization using a physics-based battery model,Model,Source PDF: Lin et al. J Appl Electrochem 2019 134.pdf. Metadata extracted from Markdown body; verify entries marked n/s or model-based. DOI requires verification. Parsed DOI is truncated (10.1016/j.jpows); verify the full DOI.
10.1016/j.est.2018.08.002,NMC/MCMB graphite,Samsung,"ICR18650-26F cylindrical 18650, 2.6 Ah",25 C,approximately 0-100%,10.1016/j.est.2018.08.002,Fast charging of lithium-ion cells: Identi fi cation of aging-minimal current pro fi les using a design of experiment approach and a mechanistic degradation analysis,Heuristic Study,Source PDF: Schindler et al. 2018.pdf. Metadata extracted from Markdown body; verify entries marked n/s or model-based.
10.1016/j.apenergy.2020.115232,NMC/graphite,LG Chem,40 Ah pouch cell,"15, 25, 35 and 45 C",0-100%,10.1016/j.apenergy.2020.115232,Actively temperature controlled health-aware fast charging method for lithium-ion battery using nonlinear model predictive control,Model,Source PDF: Yin et al. Applied Energy 2020 131.pdf. Metadata extracted from Markdown body; verify entries marked n/s or model-based.
10.1016/j.jpowsour.2019.04.047,cathode n/s; graphite anode,supplier n/s,51 Ah high-energy large-format EV pouch cell,-5 to 45 C in 5 C increments; 25 C cycling demonstrations,0-80% fast charge; tests extend toward 100%,10.1016/j.jpowsour.2019.04.047,Fast charging of an electric vehicle lithium-ion battery at the limit of the lithium deposition process,Model,Source PDF: Sieg et al. 2018 108.pdf. Metadata extracted from Markdown body; verify entries marked n/s or model-based.
10.1016/j.apenergy.2015.02.064,LFP/carbon,EIG,7 Ah high-power pouch cell,approximately 25 C,"25%, 50% and 75% for EIS; cycling approximately 0-100%",10.1016/j.apenergy.2015.02.064,Lithium-ion batteries: Evaluation study of different charging methodologies based on aging process q,Heuristic Study,Source PDF: Abdel Monem et al. 2015 Applied Energy.pdf. Metadata extracted from Markdown body; verify entries marked n/s or model-based.
10.1039/c8se00235e,Li-ion chemistry n/s,n/s,commercial 2 Ah cylindrical 18650,n/s,approximately 0-100%,10.1039/c8se00235e,An optimal multistage charge strategy for commercial lithium ion batteries,Model,Source PDF: Liu et al 2018 RSC.pdf. Metadata extracted from Markdown body; verify entries marked n/s or model-based.
10.1109/TEC.2021.3065983,NMC,n/s,3.5 Ah high-energy Li-ion cell; form factor n/s,22 C,approximately 0-100%,10.1109/TEC.2021.3065983,Electrochemical Model-Based Fast Charging: Physical Constraint-Triggered PI Control,Model,"Source PDF: Li,  Vilathgamuwa et al 2021 120.pdf. Metadata extracted from Markdown body; verify entries marked n/s or model-based."
10.1109/TIE.2017.2772154,LFP,n/s,2.3 Ah Li-ion cell; form factor n/s,25 C,0-100%,10.1109/TIE.2017.2772154,Electrochemical Estimation and Control for Lithium-Ion Battery Health-Aware Fast Charging,Model,"Source PDF: Zou, Hu et al. IEEE 2018 128.pdf. Metadata extracted from Markdown body; verify entries marked n/s or model-based."
10.1002/ente.201700680,LFP,Guoxuan High-Tech Power,"IFP3213100EA cylindrical cell, 9 Ah","-10, 0 and 25 C",various SOC; approximately 0-100%,10.1002/ente.201700680,State-of-Power Estimation of Li-Ion Batteries Considering the Battery Surface Temperature,Model,Source PDF: Liu et al 2018.pdf. Metadata extracted from Markdown body; verify entries marked n/s or model-based.
10.1109/TVT.2017.2676044,LFP/graphite,A123 Systems,"ANR26650M1 cylindrical 26650, 2.3 Ah",25 C,20-75% optimization window; full-range characterization,10.1109/TVT.2017.2676044,Optimal Charging of Li-Ion Batteries With Coupled Electro-Thermal-Aging Dynamics,Model,Source PDF: Perez et al 2017 117.pdf. Metadata extracted from Markdown body; verify entries marked n/s or model-based.
10.1149/1945-7111/aba550,Li-ion/graphite; cathode n/s,n/s,constrained pouch cell,"25, 35 and 45 C",0-100%; optimized protocol 0-85%,10.1149/1945-7111/aba550,Investigation of Temperature and Pressure Behaviour of Constrained Lithium Ion Cell under Lithium Plating Conditions,Model,Source PDF: Hovestadt et al 2020 106.pdf. Metadata extracted from Markdown body; verify entries marked n/s or model-based. Full DOI recovered from article text; verify.
10.1149/1945-7111/abd607,NMC622/carbon,n/s,40 Ah pouch cell,25 C (temperature controlled),0-100%; plating/stripping tests include 0-40%,10.1149/1945-7111/abd607,Optimal Fast Charging Method for a Large-Format Lithium-Ion Battery Based on Nonlinear Model Predictive Control and Reduced Order Electrochemical Model,Model,Source PDF: Yin et al. J Electrochem Soc. 2020 130.pdf. Metadata extracted from Markdown body; verify entries marked n/s or model-based. Full DOI recovered from article text; verify.
10.1149/2.0401906jes,NCM523/graphite,Argonne National Laboratory CAMP Facility,custom approximately 30 mAh three-electrode laboratory cell,30 C,various; capacity- and voltage-limited charging,10.1149/2.0401906jes,Fast Charging of Li-Ion Cells: Part I. Using Li/Cu Reference Electrodes to Probe Individual Electrode Potentials,Model,Source PDF: MarcoTulio et al 2019 110.pdf. Metadata extracted from Markdown body; verify entries marked n/s or model-based.
10.1149/2.0511916jes,NCM523/graphite,Argonne National Laboratory CAMP Facility,custom three-electrode laboratory cell,30 C,0-80% fixed-SOC tests and approximately 0-100% voltage-limited tests,10.1149/2.0511916jes,Fast Charging of Li-Ion Cells: Part III. Relaxation Dynamics and Trap-Controlled Lithium Ion Transport,Model,Source PDF: Shkrob et al part 3 2019 112.pdf. Metadata extracted from Markdown body; verify entries marked n/s or model-based.
10.1149/2.0561914jes,NCM523/graphite,Argonne National Laboratory CAMP Facility,custom three-electrode laboratory cell,30 C,approximately 0-100%; analyses include 60% and 96%,10.1149/2.0561914jes,Fast Charging of Li-Ion Cells: Part II. Nonlinear Contributions to Cell and Electrode Polarization,Model,Source PDF: Shkrob et al part 2 2019 111.pdf. Metadata extracted from Markdown body; verify entries marked n/s or model-based.
10.1149/2.0621910jes,LFP/graphite,A123 Systems,"ANR26650M1B cylindrical 26650, 2.5 Ah",experimental value n/s; model spans varied temperatures,initial SOC 20-90%; charging profiles across operating range,10.1149/2.0621910jes,Real-Time Prediction of Anode Potential in Li-Ion Batteries Using Long Short-Term Neural Networks for Lithium Plating Prevention,Model,Source PDF: Lin et al. 2019 103.pdf. Metadata extracted from Markdown body; verify entries marked n/s or model-based.
10.1149/2.0871507jes,NMC111/graphite,n/s,modeled 2.2 Ah cylindrical 18650,"model-based; includes low, room and elevated temperatures",approximately 0-100%,10.1149/2.0871507jes,Analysis of the Implications of Rapid Charging on Lithium-Ion Battery Performance,Model,Source PDF: Hasan et al. 2015 135.pdf. Metadata extracted from Markdown body; verify entries marked n/s or model-based.
10.4121/uuid:30a44cee-f94e-466d-a2e0-6239d5fa6bbb,NMC/graphite,Kokam,SLPB 75106100 commercial 7.5 Ah pouch cell,0 and -5 C (simulations),10-80%,10.4121/uuid:30a44cee-f94e-466d-a2e0-6239d5fa6bbb,Uncertainty-aware state estimation for electrochemical model-based fast charging control of lithium-ion batteries,Model,Source PDF: Ringbeck et al 2020 137.pdf. Metadata extracted from Markdown body; verify entries marked n/s or model-based.
10.1109/ACC.2011.5991497,Li-ion model; chemistry n/s,n/s,model-based cell; form factor n/s,10 and 25 C simulations,approximately 0-100%,10.1109/ACC.2011.5991497,Optimal Charging Strategies in Lithium-Ion Battery,Model,Source PDF: Klein et al. 2011 122.pdf. Metadata extracted from Markdown body; verify entries marked n/s or model-based. DOI not detected; fill if available.
10.1016/j.jpowsour.2019.03.007,NMC/graphite,n/s,15.7 Ah large-format pouch cell,25 C (temperature controlled),0-100%,10.1016/j.jpowsour.2019.03.007,New fast charging method of lithium-ion batteries based on a reduced order electrochemical model considering side reaction,Model,Source PDF: Yin et al J Power Sources 2019 132.pdf. Metadata extracted from Markdown body; verify entries marked n/s or model-based. DOI not detected; fill if available.
10.1016/j.jpowsour.2013.12.022,NMC/graphite,n/s,high-energy Li-ion cell; form factor n/s,-25 to 40 C,0-100% in 10% increments; partial-charge tests,10.1016/j.jpowsour.2013.12.022,Low-temperature charging of lithium-ion cells part I: Electrochemical modeling and experimental investigation of degradation behavior,Model,Source PDF: Tippmann et al. 2014 119.pdf. Metadata extracted from Markdown body; verify entries marked n/s or model-based. DOI not detected; fill if available.
10.3390/wevj6030782,Li-ion polymer; cathode chemistry n/s,n/s,pouch-type lithium-polymer cell,"0, 10, 25 and 45 C",0-100%,10.3390/wevj6030782,Fast Charging Method Based on Estimation of Ion Concentrations using a Reduced Order of Electrochemical Thermal Model for Lithium Ion Polymer Battery,Model,Source PDF: Choe et al 2013 126.pdf. Metadata extracted from Markdown body; verify entries marked n/s or model-based. DOI not detected; fill if available.
10.1016/j.electacta.2015.08.056,NCA/graphite,n/s,"commercial cylindrical 18650, 3.25 Ah",0-60 C,approximately 0-100%,10.1016/j.electacta.2015.08.056,Optimization of Charging Strategy by Prevention of Lithium Deposition on Anodes in high-energy Lithium-ion Batteries -Electrochemical Experiments,Model,Source PDF: Waldmann et al. 2015 107.pdf. Metadata extracted from Markdown body; verify entries marked n/s or model-based. DOI not detected; fill if available.
10.1016/j.jpowsour.2013.12.101,NMC/graphite,n/s,same high-energy cell platform as Part I; form factor n/s,0 C experiments; -20 to 0 C simulations,0-100%,10.1016/j.jpowsour.2013.12.101,Low-temperature charging of lithium-ion cells Part II: Model reduction and application,Model,Source PDF: Remmlinger et al. 2014 118.pdf. Metadata extracted from Markdown body; verify entries marked n/s or model-based. DOI not detected; fill if available.
10.1016/j.jpowsour.2019.226835,NMC/carbon,n/s,39 Ah large-format pouch cell,25 C,0-100%,10.1016/j.jpowsour.2019.226835,Fast and safe charging method suppressing side reaction and lithium deposition reaction in lithium ion battery,Model,Source PDF: Song et al. J Power Sources 2019 129.pdf. Metadata extracted from Markdown body; verify entries marked n/s or model-based. DOI not detected; fill if available.
10.1016/j.jpowsour.2004.12.038,commercial Li-ion; cathode n/s,Sony; Philips,Sony US18500 cylindrical and Philips LP423048 prismatic cells,room temperature (exact value n/s),0-100%; boost demonstrations emphasize 0-33%,10.1016/j.jpowsour.2004.12.038,Boostcharging Li-ion batteries: A challenging new charging concept,Heuristic Study,Source PDF: Notten et al. 2005.pdf. Metadata extracted from Markdown body; verify entries marked n/s or model-based. DOI not detected; fill if available.
10.1149/ 1945-7111/abe721,NMC/graphite (model parameterization),n/s,model-based cell; form factor n/s,initial temperatures 15-43 C,initial SOC up to 65%; fast-charge profiles,10.1149/1945-7111/abe721,Anode Potential Estimation in Lithium-Ion Batteries Using Data-Driven Models for Online Applications,Model,Source PDF: Hamar et al. 2021 104.pdf. Metadata extracted from Markdown body; verify entries marked n/s or model-based. DOI not detected; fill if available.
10.1016/j.energy.2017.09.048,LFP,A123 Systems,cylindrical 26650 cell,model-based; ambient value n/s,starts at 10% SOC; target capacity varies,10.1016/j.energy.2017.09.048,Electrothermal dynamics-conscious lithium-ion battery cell-level charging management via state-monitored predictive control,Model,"Source PDF: Zou, Hu et al 2017 116.pdf. Metadata extracted from Markdown body; verify entries marked n/s or model-based. DOI not detected; fill if available."
10.1016/j.apenergy.2016.10.059,NMC/graphite,n/s,Li-ion test cell; form factor n/s,thermostat-controlled; exact setpoint n/s,0-100%,10.1016/j.apenergy.2016.10.059,Charging optimization in lithium-ion batteries based on temperature rise and charge time,Model,Source PDF: Zhang et al. 2016.pdf. Metadata extracted from Markdown body; verify entries marked n/s or model-based. DOI not detected; fill if available.
10.1149/ 1945-7111/abd609,NCM523/graphite,Argonne National Laboratory CAMP Facility,custom Li/Cu-reference laboratory cells,30 C; simulations also at 45 C,0-80% and 0-90%,10.1149/1945-7111/abd609,Fast Charging of Li-Ion Cells: Part V. Design and Demonstration of Protocols to Avoid Li-Plating,Model,Source PDF: Shkrob et al 2021 114.pdf. Metadata extracted from Markdown body; verify entries marked n/s or model-based. DOI not detected; fill if available.
10.1016/j.applthermaleng.2017.09.068,NMC111/graphite; NMC111/LTO,n/s,20 Ah high-energy pouch and 5 Ah high-power pouch cells,"10, 25 and 45 C",10-90%,10.1016/j.applthermaleng.2017.09.068,Fast-charging investigation on high-power and high-energy density pouch cells with 3D-thermal model development,Model,Source PDF: Jaguemont et al. 2017.pdf. Metadata extracted from Markdown body; verify entries marked n/s or model-based. DOI not detected; fill if available.
10.1016/j.apenergy.2017.03.111,NCM/graphite,n/s,40 Ah large-format commercial pouch cell with reference electrode,room temperature (exact value n/s),"initial 0%, 20% and 40%; charged to approximately 97%",10.1016/j.apenergy.2017.03.111,Non-destructive fast charging algorithm of lithium-ion batteries based on the control-oriented electrochemical model,Model,"Source PDF: Chu, Xuning et al. 2017 127.pdf. Metadata extracted from Markdown body; verify entries marked n/s or model-based. DOI not detected; fill if available."
10.1149/ 1945-7111/ab7bd7,model parameterization; Li-ion chemistry n/s,n/s,model-only P2D cell,model-based; value n/s,0-100% setpoint,10.1149/1945-7111/ab7bd7,Real-time Nonlinear Model Predictive Control (NMPC) Strategies using Physics-Based Models for Advanced Lithium-ion Battery Management System (BMS),Model,Source PDF: Kolluri et al 2020 136.pdf. Metadata extracted from Markdown body; verify entries marked n/s or model-based. DOI not detected; fill if available.
10.1016/j.jpowsour.2022.231129,multiple Li-ion chemistries (review),multiple / n/a (review),multiple (review),multiple (review),various (review),10.1016/j.jpowsour.2022.231129,Developing Extreme Fast Charge Battery Protocols – A review spanning materials to systems,Review,"Source: Knowledge DB 3 Markdown. Review article spanning materials, cells, packs, and charging infrastructure."
10.1109/ACCESS.2019.2906117,multiple Li-ion chemistries (review),multiple / n/a (review),multiple (review),multiple (review),various (review),10.1109/ACCESS.2019.2906117,Classification and Review of the Charging Strategies for Commercial Lithium-Ion Batteries,Review,Source: Knowledge DB 3 Markdown. Review and classification of commercial Li-ion charging strategies.
10.1016/j.apenergy.2024.124538,multiple Li-ion chemistries (review),multiple / n/a (review),multiple (review),multiple (review),various (review),10.1016/j.apenergy.2024.124538,The design of fast charging strategy for lithium-ion batteries and intelligent application: A comprehensive review,Review,Source: Knowledge DB 3 Markdown. Comprehensive review of fast-charging strategy design and intelligent applications.
10.1038/s41560-019-0405-3,multiple Li-ion chemistries (review),multiple / n/a (review),multiple (review),multiple (review),various (review),10.1038/s41560-019-0405-3,Challenges and opportunities towards fast-charging battery materials,Review,Source: Knowledge DB 3 Markdown. Perspective/review covering fast-charging challenges across battery materials.
10.1109/ICIEA.2012.6360973,multiple Li-ion chemistries (review),multiple / n/a (review),multiple (review),multiple (review),various (review),10.1109/ICIEA.2012.6360973,Charging Algorithms of Lithium-Ion Batteries: an Overview,Review,Source: Knowledge DB 3 Markdown. Overview paper; no single experimental cell or test condition.
10.1016/j.est.2021.103306,multiple Li-ion chemistries (review),multiple / n/a (review),multiple (review),multiple (review),various (review),10.1016/j.est.2021.103306,Review of fast charging strategies for lithium-ion battery systems and their applicability for battery electric vehicles,Review,Source: Knowledge DB 3 Markdown. Review of fast-charging strategies and applicability to battery electric vehicles.
10.1039/d4eb00011k,multiple Li-ion chemistries (review),multiple / n/a (review),multiple (review),multiple (review),various (review),10.1039/d4eb00011k,Principles and trends in extreme fast charging lithium-ion batteries,Review,Source: Knowledge DB 3 Markdown. Review of principles and trends in extreme fast charging.
10.1002/celc.202000650,multiple Li-ion chemistries (review),multiple / n/a (review),multiple (review),multiple (review),various (review),10.1002/celc.202000650,Challenges and Strategies for Fast Charge of Li-Ion Batteries,Review,Source: Knowledge DB 3 Markdown. Review of fast-charge limitations and mitigation strategies.
10.1016/j.est.2016.10.005,LFP/graphite,PHET,"IFR13N0-PE1150 cylindrical cell, 1.1 Ah",25 C,approximately 0-100%; partial-charge analysis to 95%,10.1016/j.est.2016.10.005,Fast-charging of lithium iron phosphate battery with ohmic-drop compensation method,Experimental,Source: Knowledge DB 3 Markdown. C-LiFePO4 cell; chamber regulated at 25 C.
10.1016/j.est.2017.07.004,mixed NMC-LMO/graphite,n/s,"commercial power-optimized cylindrical 18650 cell, 1.5 Ah",room temperature (exact value n/s),"2.5-82.5%, 2.5-93%, and 2.5-100%, protocol-dependent",10.1016/j.est.2017.07.004,Fast-charging to a partial state of charge in lithium-ion batteries: A comparative ageing study,Experimental,Source: Knowledge DB 3 Markdown. Manufacturer is not named in the parsed text.
10.1016/j.est.2018.06.010,Li-ion chemistry n/s,Sanyo,"UR14500P cylindrical cell, 840 mAh",room temperature (exact value n/s),"0-100%; additional tests from 17%, 37%, 67%, and 84% SOC",10.1016/j.est.2018.06.010,Implementation of an SOC-based four-stage constant current charger for Liion batteries,Experimental,"Source: Knowledge DB 3 Markdown. Four-stage transitions occur at 25%, 50%, and 75% SOC."
